key,en,de,ar,Google Translate arabic
about_us,About Us,Über uns,عنا,عنا
"about_us_text
",Lorem Ipsum....,Lorem Ipsum....,أبجد هوز ....,أبجد هوز ....
access_denied,Access denied.,Zugang verweigert.,صلاحياتك مرفوضة,تم الرفض.
administration,Administration,Administration,الادارة,إدارة
"approve_new_vouchers
",We'll approve your new vouchers within 24 hours.,Wir prüfen Ihre neuen Gutscheine in den nächsten 24 Stunden.,سنقوم الموافقة على قسائم الجديدة الخاصة بك في غضون 24 ساعة.,سنقوم الموافقة على قسائم الجديدة الخاصة بك في غضون 24 ساعة.
"approve_updated_vouchers
",We'll approve your update within 24 hours.,Wir prüfen Ihre Bearbeitung in den nächsten 24 Stunden.,سنقوم الموافقة على التحديث الخاص بك في غضون 24 ساعة.,سنقوم الموافقة على التحديث الخاص بك في غضون 24 ساعة.
back,Back,Zurück,الصفحة السابقة,إلى الوراء
basics,Basics,Basisinformationen,الاساسيات,مبادئ
categories,Categories,Kategorien,الفئات,الفئات
categories_info_text,All voucher categories of Wasl Chiraa. Create new categories here.,"Alle Gutscheinkategorien von Wasl Chira. Erstelle hier neue Kategorien. 
","جميع فئات القسائم في وصل شراء, إنشاء فئات جديدة هنا.",جميع الفئات قسيمة من الوصل Chiraa. إنشاء فئات جديدة هنا.
category,Category,Kategorie,فئة,فئة
copyright,2015 by Wasl Chiraa. All rights reserved.,2015 durch Wasl Chiraa. Alle Rechte vorbehalten.,2015 لوصل شراء. جميع الحقوق محفوظة.,2015 بواسطة الوصل Chiraa. جميع الحقوق محفوظة.
create_new_vouchers,Create new vouchers here.,Erstelle hier neue Gutscheine,إنشاء قسائم جديدة هنا.,إنشاء قسائم جديدة هنا.
customers_how_it_works_text,Lorem Ipsum....,Lorem Ipsum....,,أبجد هوز ....
description,Description,Beschreibung,الشرح,وصف
end,End,Ende,انتهاء,النهاية
error_403,Error 403,Error 403,خطأ 403,خطأ 403
error_404,Error 404,Error 404,خطأ 404,خطأ 404
home,Home,Startseite,الصفحة الرئيسية,الصفحة الرئيسية
how_it_works,How It Works,Wie funktioniert's,طريقة العمل,كيف يعمل
imprint,Imprint,Impressum,معلومات,بصمة
imprint_text,Lorem Ipsum....,Lorem Ipsum....,,أبجد هوز ....
imprint_text,Lorem Ipsum....,Lorem Ipsum....,,أبجد هوز ....
information,Information,Information,البيانات,إعلام
loading_data, Loading data ...,Daten werden geladen ...,يتم تحميل البيانات ..., تحميل البيانات ...
loading_data_text,Stay tuned...,Gleich geht's weiter ...,ترّقب...,ترّقب...
merchant,Merchant,Händler,التاجر,تاجر
merchants_how_it_works_text,Lorem Ipsum....,Lorem Ipsum....,,أبجد هوز ....
no_cadegories_found,No categories found,Es wurden keine Kategorien gefunden,لا يوجد فئات,لا يوجد فئات وجدت
no_users_found,No users found,Es wurden keine Benutzerkonten gefunden,لا يوجد أعضاء حاليا,لا يوجد أعضاء وجد
no_vouchers_found,No vouchers found,Es wurden keine Gutscheine gefunden,لم يتم العثور على قسائم,لم يتم العثور على قسائم
page_not_found,Page not found.,Die Seite wurde nicht gefunden.,الصفحة غير موجودة.,الصفحة غير موجودة.
privacy,Privacy,Datenschutz,خصوصية,خصوصية
privacy_text,Lorem Ipsum....,Lorem Ipsum....,,أبجد هوز ....
published,Published,Veröffentlicht,نشرت,نشرت
quantity,Quantity,Anzahl,كمية,كمية
relations,Relations,Beziehungen,علاقات,علاقات
reserve_voucher,Reserve Voucher,Sichere Dir den Gutschen,احجز القسيمة,احتياطي قسيمة
state,State,Zustand,حالة القسيمة,حالة
title,Title,Titel,عنوان,عنوان
update_voucher,Update a voucher here.,"Bearbeite den Gutschein hier
",تحديث قسيمة هنا.,تحديث قسيمة هنا.
user,User,Benutzer,المستخدم,المستخدم
users,Users,Benutzer,المستخدمين,المستخدمين
users_add,Create User,Neuer Benutzer,إنشاء العضو,إنشاء العضو
users_info_text,All user accounts of Wasl Chiraa. Create new users here.,"Alle Benutzerkonten von Waslchira. Erstelle hier neue Benutzerkonten. 
",جميع حسابات المستخدمين من وصل شراء. إنشاء مستخدمين جدد هنا.,جميع حسابات المستخدمين من الوصل Chiraa. إنشاء مستخدمين جدد هنا.
verify_refugee,Verify Refugee,Flüchtling verifizieren,تحقق من اللاجئين,تحقق من اللاجئين
verify_refugee_text,Lorem Ipsum....,Lorem Ipsum....,,أبجد هوز ....
voucher,Voucher,Gutschein,قسيمة شراء,قسيمة
voucher_offline,  Your voucher will be offline until verified!,Dein Gutschein ist offline bis er geprüft wurde.,سوف يتم التحقق من القسيمة,  سوف القسيمة يكون حاليا حتى التحقق!
vouchers,Vouchers,Gutscheine,قسائم,قسائم
vouchers_add,Add Voucher,Neuer Gutschein,إضافة قسيمة,إضافة قسيمة
vouchers_info_text,All vouchers of Wasl Chiraa. Create and/or publish new vouchers here.,Alle Gutscheine von Waslchira. Erstelle und/oder bearbeite Gutscheine hier.,جميع القسائم من الوصل شراء. إنشاء و / أو نشرها قسائم جديدة هنا.,جميع القسائم من الوصل Chiraa. إنشاء و / أو نشرها قسائم جديدة هنا.
vouchers_manage,Manage Vouchers,"Gutscheine, verwalten",إدارة قسائم,إدارة قسائم
Wasl Chiraa,Wasl Chiraa,Wasl Chiraa,وصل شراء,وصل Chiraa
welcome,Welcome,Willkommen,اهلا بك,أهلا بك
from,From,Von,من,من
profile_edit,Edit Profile,Profil bearbeiten,تعديل الملف الشخصي,تعديل الملف الشخصي
voucher_code_list,View voucher codes,Zeige Gutschein codes,,
